Rank	Company	Industry	Funding	Headquarters	Employees	CEO
1	Snowflake	Data platform	$1400 M	San Mateo, California	2000	Frank Slootman
2	Stripe	Payments software	$1600 M	San Francisco, California	2800	Patrick Collison
3	UiPath	Robotic process automation	$1200 M	New York, New York	2850	Daniel Dines
4	HashiCorp	Infrastructure automation	$349 M	San Francisco, California	1000	Dave McJannet
5	Databricks	Data analytics	$897 M	San Francisco, California	1442	Ali Ghodsi
6	Confluent	Data platform	$456 M	Mountain View, California	1000	Jay Kreps
7	Canva	Design software	$300 M	Sydney, Australia	1000	Melanie Perkins
8	Procore	Construction software	$600 M	Carpinteria, California	2000	Tooey Courtemanche
9	Rubrik	Data management	$553 M	Palo Alto, California	1600	Bipul Sinha
10	Toast	Restaurant management	$850 M	Boston, Massachusetts	1500	Chris Comparato
11	ServiceTitan	Contractor software	$327 M	Glendale, California	950	Ara Mahdessian
12	Tanium	Cybersecurity	$837 M	Emeryville, California	1500	Orion Hindawi
13	GitLab	DevOps software	$436 M	Remote, United States	1309	Sid Sijbrandij
14	JFrog	DevOps software	$228 M	Sunnyvale, CA and Netanya, Israel	600	Shlomi Ben Haim
15	Checkout.com	Payments software	$380 M	London, United Kingdom	750	Guillaume Pousaz
16	Freshworks	Customer engagement	$327 M	San Mateo, California	3000	Girish Mathrubootham
17	Asana	Team management	$214 M	San Francisco, California	900	Dustin Moskovitz
18	Squarespace	Website building	$279 M	New York, New York	1143	Anthony Casalena
19	Auth0	Identity access management	$330 M	Bellevue, Washington	700	Eugenio Pace
20	Automation Anywhere	Robotic process automation	$840 M	San Jose, California	2000	Mihir Shukla
21	Mailchimp	Marketing platform		Atlanta, Georgia	1200	Ben Chestnut
22	Gusto	Payroll, benefits, and HR	$516 M	San Francisco, California	1300	Joshua Reeves
23	Airtable	Software creation	$355 M	San Francisco, California	270	Howie Liu
24	Zapier	Automation software	$1 M	Remote, United States	350	Wade Foster
25	Samsara	Industrial IoT	$930 M	San Francisco, California	1350	Sanjit Biswas
26	Segment	Customer data platform	$284 M	San Francisco, California	500	Peter Reinhardt
27	Carta	Equity management	$628 M	San Francisco, California	840	Henry Ward
